Name;HP;Attack;Defense;SpecialAttack;SpecialDefense;Speed
Bulbasaur;45;49;49;65;65;45
Ivysaur;60;62;63;80;80;60
Venusaur;80;82;83;100;100;80
Charmander;39;52;43;60;50;65
Charmeleon;58;64;58;80;65;80
Charizard;78;84;78;109;85;100
Squirtle;44;48;65;50;64;43
Wartortle;59;63;80;65;80;58
Blastoise;79;83;100;85;105;78
Caterpie;45;30;35;20;20;45
Metapod;50;20;55;25;25;30
Butterfree;60;45;50;90;80;70
Weedle;40;35;30;20;20;50
Kakuna;45;25;50;25;25;35
Beedrill;65;90;40;45;80;75
Pidgey;40;45;40;35;35;56
Pidgeotto;63;60;55;50;50;71
Pidgeot;83;80;75;70;70;101
Rattata;30;56;35;25;35;72
Raticate;55;81;60;50;70;97
Spearow;40;60;30;31;31;70
